stock_symbol,market_cap,ebit,enterprise_value,ebit_to_ev,ebit_to_nwc_nfa,net_working_capital,net_fixed_assets,fcf
MMM,73162956800,-8746000000.0,80317956800.0,-0.108892,-0.172914,0,50580000000.0,5065000000.0
AOS,11663223808,745500000.0,11440623808.0,0.065163,0.231961,0,3213900000.0,597700000.0
ABT,202524360704,7301000000.0,209227360704.0,0.034895,0.101492,0,71937000000.0,5059000000.0
ABBV,343040884736,8474000000.0,382420884736.0,0.022159,0.063258,0,133959000000.0,22062000000.0
ACN,218971308032,9186857000.0,209969369032.0,0.043753,0.18147,0,50624646000.0,8996096000.0
ADBE,238048149504,6912000000.0,234541149504.0,0.02947,,0,,6942000000.0
AMD,246510682112,598000000.0,244294682112.0,0.002448,0.009295,0,64334000000.0,1121000000.0
AES,13180531712,1423000000.0,34500531712.0,0.041246,0.031764,0,44799000000.0,-4690000000.0
AFL,60813217792,5457000000.0,63747217792.0,0.085604,0.043062,0,126724000000.0,3190000000.0
A,39453007872,1434000000.0,40598007872.0,0.035322,0.133234,0,10763000000.0,1474000000.0
APD,63166078976,3059900000.0,70980378976.0,0.043109,0.099747,0,30676700000.0,-1420100000.0
ABNB,74467803136,2185000000.0,69584803136.0,0.031401,0.105837,0,20645000000.0,3884000000.0
AKAM,14929856512,670236000.0,17978617512.0,0.03728,0.0677,0,9900037000.0,618399000.0
ALB,10277086208,362810000.0,12928188208.0,0.028063,0.019858,0,18270652000.0,-823960000.0
ARE,21764292608,355198000.0,32361792608.0,0.010976,0.009956,0,35677929000.0,1630550000.0
ALGN,18205925376,656654000.0,17268487376.0,0.038026,,0,,608060000.0
ALLE,12299873280,710300000.0,13434173280.0,0.052873,0.164745,0,4311500000.0,516400000.0
LNT,15300225024,1127000000.0,23463225024.0,0.048033,0.053068,0,21237000000.0,867000000.0
ALL,49718919168,31000000.0,56938919168.0,0.000544,0.000302,0,102658000000.0,3961000000.0
GOOGL,1943418568704,86025000000.0,1931240568704.0,0.044544,0.220325,0,390446000000.0,69495000000.0
GOOG,1943421583360,86025000000.0,1931243583360.0,0.044544,0.220325,0,390446000000.0,69495000000.0
MO,90361413632,12077000000.0,111787413632.0,0.108035,0.313119,0,38570000000.0,9091000000.0
AMZN,1957324390400,40739000000.0,1942251390400.0,0.020975,0.077179,0,527854000000.0,32217000000.0
AMCR,15884286976,1255000000.0,21899286976.0,0.057308,0.078787,0,15929000000.0,829000000.0
AEE,22409959424,1906000000.0,37505959424.0,0.050819,0.048462,0,39330000000.0,-1207000000.0
AAL,7020165632,3266000000.0,35712165632.0,0.091453,0.051794,0,63058000000.0,1207000000.0
AEP,55430938624,4015600000.0,92753538624.0,0.043293,0.042949,0,93497000000.0,-2494300000.0
AXP,184126210048,0.0,185462210048.0,0.0,0.0,0,261108000000.0,16996000000.0
